KPI-db2-all-1,基础信息,基本信息,,管理IP,静态属性,ip,,
KPI-db2-all-2,基础信息,基本信息,,名称,静态属性,name,,
KPI-db2-all-3,基础信息,基本信息,,数据库名称,静态属性,dbName,,
KPI-db2-all-4,基础信息,基本信息,,数据库状态,指标,DBStatus, ,返回值：/Database is active/DB in Database rollforward/Database has been quiesced/Quiesce is pending for DB
KPI-db2-all-6,基础信息,基本信息,,版本,静态属性,version,,
KPI-db2-all-9,基础信息,基本信息,,备注,静态属性,description,,
KPI-db2-all-13,基础信息,管理状态,,管理等级,静态属性,grade,,
KPI-db2-all-27,基础信息,应用连接信息,,最大并行连接数,指标,ConnectionsTop,个, 
KPI-db2-all-28,基础信息,应用连接信息,,当前连接数,指标,SessionCount,个,
KPI-db2-all-29,基础信息,应用连接信息,,应用程序连接数,指标,AppsCurCons,个,
KPI-db2-all-30,基础信息,应用连接信息,,等待锁定百分比,指标,LockWaitRatio,%,
KPI-db2-all-31,基础信息,应用连接信息,,应用连接百分比,指标,AppConnectionRatio,%,
KPI-db2-all-58,基础信息,应用连接信息,,SQL回滚率,指标,SQLEx_SqlRollbackRatio,%,
KPI-db2-all-34,基础信息,缓存信息,,目录高速缓存命中率,指标,CatCacheHitRatio,%,
KPI-db2-all-35,基础信息,缓存信息,,程序包高速缓存命中率,指标,PKGCacheHitRatio,%,
KPI-db2-all-32,基础信息,缓存信息,,超过阈值后的排序数,指标,SortInfo_SortOverflows,个,
KPI-db2-all-33,基础信息,缓存信息,,排序溢出百分比,指标,SortInfo_SortOverflowsRatio,%,
KPI-db2-all-36,基础信息,数据库缓冲池IO信息,DB2PoolIOInfo,缓冲池名称（key）,静态属性,name,,
KPI-db2-all-37,基础信息,数据库缓冲池IO信息,DB3PoolIOInfo,缓冲池数据命中率,指标,PoolDateHitRatio,%,
KPI-db2-all-38,基础信息,数据库缓冲池IO信息,DB4PoolIOInfo,缓冲池索引命中率,指标,PoolIndexlHitRatio,%,
KPI-db2-all-39,基础信息,数据库缓冲池IO信息,DB5PoolIOInfo,同步读数据百分比,指标,SynchroPercent,%,
KPI-db2-all-40,基础信息,数据库缓冲池IO信息,DB6PoolIOInfo,缓冲池命中率,指标,PoolHitRatio,%,
KPI-db2-all-52,基础信息,锁基本信息,,锁定超时次数,指标,LockTimeouts,个,
KPI-db2-all-53,基础信息,锁基本信息,,检测到的死锁数,指标,DeadLockCount,个,
KPI-db2-all-54,基础信息,锁基本信息,,锁定升级数,指标,LockEscals,个,
KPI-db2-all-55,基础信息,锁基本信息,,等待锁数,指标,LockWaits,个,
KPI-db2-all-56,基础信息,锁基本信息,,死锁比率,指标,DeadLockRatio,%,
KPI-db2-all-57,基础信息,锁基本信息,,锁定升级比率,指标,LockEscalRatio,%,
KPI-db2-all-41,基础信息,日志信息,,日志空间总大小,指标,TotalLogAvailable,bytes,
KPI-db2-all-42,基础信息,日志信息,,日志空间已使用大小,指标,TotalLogUsed,bytes,
KPI-db2-all-43,基础信息,日志信息,,日志使用率,指标,LogUsedRatio,%,
KPI-db2-all-44,表空间信息,数据库表空间信息,DB2TableSpaceConfig,表空间名(key),静态属性,name,,
KPI-db2-all-45,表空间信息,数据库表空间信息,DB3TableSpaceConfig,类型,静态属性,tablespaceType,,
KPI-db2-all-46,表空间信息,数据库表空间信息,DB4TableSpaceConfig,页大小,指标,PageSize,bytes,
KPI-db2-all-47,表空间信息,数据库表空间信息,DB5TableSpaceConfig,总页数,指标,TotalPages,页,
KPI-db2-all-48,表空间信息,数据库表空间信息,DB6TableSpaceConfig,已用页数,指标,UsedPages,页,
KPI-db2-all-49,表空间信息,数据库表空间信息,DB7TableSpaceConfig,使用率,指标,UsedRatioPages,%,
KPI-db2-all-50,表空间信息,数据库表空间信息,DB8TableSpaceConfig,空闲页数,指标,FreePages,页,
KPI-db2-all-51,表空间信息,,,用户数据量昨日增长大小,指标,UserSpaceUsed__Yesterday_Increment,MB,
